parameter,mean,sd,q05,q95,rhat,ess
"z[663,5]",-0.998,0.481,-1.727,-0.208,1.001,5305
"z[1,6]",-0.026,0.938,-1.594,1.526,1,9559
"z[2,6]",-0.144,0.95,-1.691,1.44,1,9484
"z[3,6]",-0.232,0.988,-1.851,1.406,1,9100
"z[4,6]",-0.338,0.991,-1.935,1.33,1,9391
"z[5,6]",0.345,0.968,-1.258,1.925,1,9287
"z[6,6]",-0.053,0.955,-1.597,1.505,1,9475
"z[7,6]",0.119,1.002,-1.534,1.742,1,9094
"z[8,6]",-0.055,0.981,-1.682,1.536,1,9187
"z[9,6]",-0.109,0.962,-1.677,1.476,1,9413
"z[10,6]",0.004,0.967,-1.585,1.604,1,8875
"z[11,6]",0.081,0.961,-1.491,1.641,1,8489
"z[12,6]",-0.034,0.948,-1.575,1.524,1,9219
"z[13,6]",-0.065,0.988,-1.671,1.577,1,10086
"z[14,6]",-0.009,0.978,-1.609,1.58,1,9179
"z[15,6]",-0.027,0.997,-1.676,1.627,1,9318
"z[16,6]",0.26,0.985,-1.359,1.871,1,8933
"z[17,6]",-0.003,1.004,-1.675,1.634,1.001,9648
"z[18,6]",0.245,1.019,-1.442,1.91,1,10012
"z[19,6]",-0.997,1.05,-2.672,0.763,1,7630
"z[20,6]",0.001,1.008,-1.653,1.643,1,9975
"z[21,6]",0.019,0.996,-1.619,1.631,1,10340
"z[22,6]",0.086,0.996,-1.566,1.732,1,9179
"z[23,6]",-0.004,0.996,-1.646,1.621,1,9338
"z[24,6]",0.129,0.948,-1.421,1.662,1,8486
"z[25,6]",-0.029,0.997,-1.66,1.622,1,9244
"z[26,6]",0.049,0.974,-1.538,1.652,1,8998
"z[27,6]",-0.428,0.989,-2.047,1.2,1,8865
"z[28,6]",-0.075,0.981,-1.726,1.54,1,9149
"z[29,6]",-0.052,0.988,-1.665,1.558,1,9314
"z[30,6]",-0.078,0.946,-1.62,1.492,1.001,9206
"z[31,6]",-0.056,0.966,-1.627,1.514,1,9028
"z[32,6]",0.653,1.036,-0.994,2.351,1,8100
"z[33,6]",-0.103,0.989,-1.714,1.5,1.001,9517
"z[34,6]",0.158,0.991,-1.466,1.781,1,9620
"z[35,6]",0.228,0.97,-1.378,1.812,1,9504
"z[36,6]",0.018,0.996,-1.592,1.655,1,9263
"z[37,6]",-0.019,0.972,-1.619,1.574,1,9799
"z[38,6]",-0.208,0.976,-1.835,1.395,1,9024
"z[39,6]",-0.42,0.985,-2.023,1.22,1,8087
"z[40,6]",-0.111,0.949,-1.667,1.429,1,9554
"z[41,6]",-0.327,0.959,-1.856,1.262,1,8546
"z[42,6]",0.236,0.953,-1.364,1.777,1,8968
"z[43,6]",0.018,0.955,-1.533,1.591,1.001,9062
"z[44,6]",0.004,0.997,-1.675,1.621,1,8829
"z[45,6]",-0.015,0.99,-1.661,1.609,1,9276
"z[46,6]",0.129,0.966,-1.459,1.71,1,10135
"z[47,6]",0.5,1.012,-1.162,2.159,1.001,8800
"z[48,6]",-0.08,0.975,-1.663,1.535,1,9343
"z[49,6]",-0.016,0.957,-1.584,1.585,1,8750
"z[50,6]",-0.031,0.96,-1.605,1.571,1,9286
"z[51,6]",-0.196,0.955,-1.756,1.381,1,9262
"z[52,6]",0.053,0.965,-1.537,1.628,1,8913
"z[53,6]",-0.023,0.935,-1.578,1.498,1,9382
"z[54,6]",0.161,0.974,-1.458,1.765,1,9153
"z[55,6]",0.401,0.974,-1.22,1.967,1.001,9027
"z[56,6]",-0.185,0.969,-1.794,1.411,1.001,9266
"z[57,6]",0.029,0.942,-1.522,1.586,1,9430
"z[58,6]",0.075,0.941,-1.466,1.6,1,9520
"z[59,6]",0.12,0.945,-1.397,1.667,1,9142
"z[60,6]",0.133,0.939,-1.41,1.686,1.001,9109
"z[61,6]",0.198,0.944,-1.368,1.745,1,9081
"z[62,6]",-0.027,0.968,-1.602,1.546,1,8679
"z[63,6]",-0.319,0.968,-1.906,1.281,1,8960
"z[64,6]",-0.095,0.955,-1.648,1.496,1,9566
"z[65,6]",-0.168,0.954,-1.718,1.407,1.001,9589
"z[66,6]",-0.193,0.947,-1.76,1.368,1.001,8614
"z[67,6]",0.198,0.991,-1.436,1.85,1,9082
"z[68,6]",0.559,1.015,-1.119,2.209,1,8597
"z[69,6]",-0.114,0.954,-1.677,1.466,1,9421
"z[70,6]",-0.24,0.955,-1.774,1.354,1.001,8660
"z[71,6]",0.139,0.95,-1.43,1.686,1,9519
"z[72,6]",-0.164,0.969,-1.737,1.408,1,8950
"z[73,6]",0.512,0.986,-1.104,2.145,1.001,9076
"z[74,6]",-0.152,0.952,-1.719,1.449,1,8899
"z[75,6]",-0.263,0.969,-1.832,1.37,1,9597
"z[76,6]",-0.164,0.967,-1.731,1.419,1,8999
"z[77,6]",-0.017,0.996,-1.623,1.634,1,8815
"z[78,6]",-0.223,0.993,-1.845,1.397,1,8946
"z[79,6]",-0.022,0.992,-1.656,1.607,1,9113
"z[80,6]",-0.225,0.966,-1.812,1.355,1.001,9042
"z[81,6]",0.019,0.974,-1.568,1.624,1,9431
"z[82,6]",0.064,0.963,-1.516,1.659,1,9194
"z[83,6]",-0.116,0.978,-1.727,1.493,1,9702
"z[84,6]",-0.005,0.955,-1.575,1.563,1,9068
"z[85,6]",-0.004,0.955,-1.56,1.532,1.001,8524
"z[86,6]",-0.039,0.969,-1.63,1.535,1,8293
"z[87,6]",0.029,0.983,-1.604,1.651,1,9234
"z[88,6]",-0.208,0.954,-1.753,1.373,1,9295
"z[89,6]",0.155,0.961,-1.431,1.726,1,9766
"z[90,6]",0.07,0.972,-1.531,1.676,1,9525
"z[91,6]",0.08,1.008,-1.566,1.73,1,9167
"z[92,6]",0.464,0.966,-1.107,2.041,1,8598
"z[93,6]",-0.217,0.949,-1.787,1.364,1,9415
"z[94,6]",-0.241,0.977,-1.82,1.363,1,9142
"z[95,6]",-0.104,0.96,-1.689,1.466,1,9463
"z[96,6]",0.151,0.988,-1.467,1.744,1.001,8902
"z[97,6]",0.393,0.971,-1.213,1.983,1,9054
"z[98,6]",0.056,0.977,-1.548,1.673,1,8858
"z[99,6]",-0.202,0.963,-1.773,1.372,1,9458
"z[100,6]",0.225,0.957,-1.38,1.804,1,8313
"z[101,6]",-0.18,0.958,-1.786,1.395,1,9108
"z[102,6]",0.063,0.936,-1.491,1.603,1,9031
"z[103,6]",-0.024,0.956,-1.593,1.554,1,9168
"z[104,6]",0.048,0.977,-1.568,1.648,1,9441
"z[105,6]",0.22,0.956,-1.361,1.782,1,9041
"z[106,6]",-0.156,0.961,-1.728,1.435,1.001,9911
"z[107,6]",0.288,0.959,-1.298,1.852,1,9813
"z[108,6]",0.187,0.975,-1.408,1.798,1,9215
"z[109,6]",0.019,0.969,-1.561,1.611,1,9685
"z[110,6]",-0.017,0.947,-1.617,1.547,1,9257
"z[111,6]",0.09,0.978,-1.536,1.676,1,9248
"z[112,6]",0.043,0.972,-1.565,1.648,1,9572
"z[113,6]",0,0.998,-1.664,1.65,1.001,9433
"z[114,6]",-0.039,0.989,-1.652,1.571,1,8883
"z[115,6]",-0.108,1.002,-1.758,1.539,1,9599
"z[116,6]",-0.076,1.004,-1.734,1.571,1,9766
"z[117,6]",-0.034,0.996,-1.666,1.592,1,9974
"z[118,6]",0.038,1.013,-1.615,1.688,1,8980
"z[119,6]",0.264,0.954,-1.305,1.822,1,9319
"z[120,6]",-0.117,0.96,-1.71,1.444,1,8929
"z[121,6]",-0.019,0.956,-1.579,1.563,1,9223
"z[122,6]",0.027,0.993,-1.597,1.671,1,9471
"z[123,6]",-0.09,0.951,-1.659,1.455,1,8723
"z[124,6]",-0.258,0.998,-1.869,1.403,1.001,9464
"z[125,6]",-0.025,0.998,-1.655,1.61,1,8958
"z[126,6]",-0.207,0.965,-1.774,1.398,1,8925
"z[127,6]",0.085,0.987,-1.56,1.728,1,9136
"z[128,6]",0.03,0.981,-1.594,1.628,1.001,9334
"z[129,6]",-0.117,1.006,-1.745,1.521,1,9322
"z[130,6]",0.019,0.961,-1.572,1.607,1,9480
"z[131,6]",-0.098,0.946,-1.669,1.453,1,9638
"z[132,6]",-0.422,0.968,-1.981,1.185,1,8881
"z[133,6]",0.312,0.989,-1.326,1.912,1,8583
"z[134,6]",-0.2,0.969,-1.783,1.399,1,9114
"z[135,6]",0.162,0.966,-1.422,1.744,1,9228
"z[136,6]",-0.017,0.94,-1.553,1.54,1.001,9445
"z[137,6]",-0.103,0.989,-1.731,1.508,1,9866
"z[138,6]",-0.129,0.987,-1.725,1.482,1,9693
"z[139,6]",-0.003,0.968,-1.577,1.591,1,9260
"z[140,6]",0.088,0.965,-1.535,1.685,1,8945
"z[141,6]",0.328,1.01,-1.349,1.993,1,9006
"z[142,6]",0.778,1.024,-0.928,2.426,1,8511
"z[143,6]",0.034,1.003,-1.634,1.673,1.001,8467
"z[144,6]",-0.027,1.012,-1.678,1.636,1.001,8720
"z[145,6]",0.815,1.033,-0.901,2.515,1,9050
"z[146,6]",0.047,0.996,-1.566,1.678,1.001,9115
"z[147,6]",0.033,0.999,-1.624,1.668,1,9601
"z[148,6]",-0.354,0.948,-1.93,1.208,1,8696
"z[149,6]",0.043,0.966,-1.553,1.63,1,9228
"z[150,6]",-0.131,0.965,-1.733,1.43,1,9069
"z[151,6]",-0.166,0.956,-1.724,1.431,1,9330
"z[152,6]",0.313,0.973,-1.279,1.92,1,8877
"z[153,6]",-0.114,0.979,-1.7,1.489,1,9988
"z[154,6]",-0.095,0.954,-1.665,1.489,1,8907
"z[155,6]",-0.064,0.952,-1.619,1.507,1,9305
"z[156,6]",-0.119,0.96,-1.685,1.486,1,8253
"z[157,6]",0.003,0.986,-1.627,1.618,1,8926
"z[158,6]",-0.007,0.983,-1.603,1.642,1,9192
"z[159,6]",-0.039,0.988,-1.673,1.559,1,8747
"z[160,6]",0.027,0.96,-1.558,1.61,1,9633
"z[161,6]",0.103,0.989,-1.521,1.698,1,9014
"z[162,6]",0.381,0.995,-1.263,1.996,1,9169
"z[163,6]",-0.265,0.956,-1.855,1.29,1,8785
"z[164,6]",-0.078,0.991,-1.7,1.566,1,8583
"z[165,6]",-0.112,0.962,-1.691,1.48,1,9045
"z[166,6]",-0.575,0.991,-2.15,1.095,1,8981
"z[167,6]",-0.043,1.001,-1.718,1.577,1,9591
"z[168,6]",-0.086,0.99,-1.744,1.516,1.001,9304
"z[169,6]",0.064,1.005,-1.581,1.743,1,9537
"z[170,6]",0.032,1.004,-1.621,1.687,1,9608
"z[171,6]",-0.339,0.995,-1.962,1.31,1,9277
"z[172,6]",0.18,0.977,-1.434,1.777,1,9611
"z[173,6]",0.066,0.997,-1.612,1.694,1.001,9293
"z[174,6]",0.229,1.014,-1.43,1.867,1,9624
"z[175,6]",-0.049,0.951,-1.63,1.522,1,9733
"z[176,6]",-0.088,0.958,-1.656,1.5,1,9650
"z[177,6]",-0.181,0.966,-1.774,1.411,1.001,9040
"z[178,6]",0.11,0.955,-1.448,1.692,1,9366
"z[179,6]",0.027,0.96,-1.528,1.633,1,9713
"z[180,6]",-0.017,1.009,-1.658,1.691,1,9517
"z[181,6]",-0.096,1.005,-1.736,1.564,1.001,9074
"z[182,6]",0.11,0.986,-1.512,1.73,1,9390
"z[183,6]",-0.099,0.956,-1.677,1.452,1.001,9169
"z[184,6]",-0.09,0.975,-1.69,1.542,1,9527
"z[185,6]",0.103,0.95,-1.472,1.664,1,9442
"z[186,6]",0.494,0.97,-1.131,2.077,1,8617
"z[187,6]",-0.046,0.951,-1.604,1.51,1,9464
"z[188,6]",0.048,0.965,-1.544,1.623,1,9763
"z[189,6]",0.014,0.986,-1.61,1.627,1,9627
"z[190,6]",-0.068,0.978,-1.686,1.542,1,8708
"z[191,6]",-0.013,0.99,-1.648,1.623,1,8950
"z[192,6]",-0.008,1.009,-1.663,1.657,1,9345
"z[193,6]",-0.139,0.972,-1.72,1.483,1,9404
"z[194,6]",-0.006,0.971,-1.596,1.618,1,8892
"z[195,6]",0.057,0.974,-1.526,1.64,1,9257
"z[196,6]",-0.081,0.964,-1.656,1.518,1,8978
"z[197,6]",0.106,0.963,-1.476,1.664,1,8942
"z[198,6]",-0.113,0.953,-1.676,1.444,1,9623
"z[199,6]",0.035,0.972,-1.569,1.616,1,9838
"z[200,6]",0.066,1.004,-1.588,1.717,1,9019
"z[201,6]",0.034,0.994,-1.606,1.645,1,8783
"z[202,6]",-0.086,0.964,-1.673,1.506,1,9162
"z[203,6]",-0.102,0.974,-1.698,1.516,1,9551
"z[204,6]",-0.083,0.977,-1.699,1.513,1,9420
"z[205,6]",0.015,0.998,-1.636,1.656,1.001,9015
"z[206,6]",0.037,0.975,-1.567,1.625,1,9248
"z[207,6]",-0.002,0.986,-1.603,1.619,1,10116
"z[208,6]",-0.152,0.995,-1.766,1.487,1.001,9573
"z[209,6]",0.366,0.999,-1.277,1.988,1,9196
"z[210,6]",0.152,0.987,-1.468,1.779,1,9721
"z[211,6]",-0.034,1.002,-1.677,1.613,1.001,9212
"z[212,6]",0.196,0.981,-1.458,1.804,1,9606
"z[213,6]",-0.158,1.002,-1.819,1.501,1,9189
"z[214,6]",-0.333,1.013,-1.996,1.345,1,9224
"z[215,6]",0.001,0.993,-1.593,1.624,1,9065
"z[216,6]",-0.214,0.972,-1.801,1.362,1,9612
"z[217,6]",-0.213,0.977,-1.806,1.408,1.001,9352
"z[218,6]",0.192,0.99,-1.442,1.821,1,9844
"z[219,6]",-0.049,0.988,-1.672,1.579,1,8703
"z[220,6]",-0.108,0.985,-1.735,1.514,1,9403
"z[221,6]",-0.069,1.015,-1.741,1.606,1,9751
"z[222,6]",0.077,0.986,-1.545,1.711,1,8670
"z[223,6]",-0.109,0.975,-1.723,1.497,1,9431
"z[224,6]",-0.007,0.994,-1.651,1.626,1,9517
"z[225,6]",-0.093,0.974,-1.702,1.499,1,9179
"z[226,6]",-0.057,0.982,-1.688,1.557,1,8917
"z[227,6]",0.229,0.986,-1.398,1.847,1,9704
"z[228,6]",-0.023,0.994,-1.642,1.61,1.001,8714
"z[229,6]",0.035,0.988,-1.577,1.664,1,8993
"z[230,6]",0.028,1,-1.647,1.635,1,8975
"z[231,6]",0.23,0.966,-1.374,1.785,1,9617
"z[232,6]",-0.051,0.957,-1.618,1.513,1,9290
"z[233,6]",0.126,0.977,-1.503,1.716,1,9357
"z[234,6]",-0.11,0.972,-1.715,1.461,1.001,9520
"z[235,6]",0.115,0.985,-1.533,1.73,1.001,9274
"z[236,6]",-0.027,0.985,-1.648,1.573,1,8915
"z[237,6]",-0.073,0.982,-1.693,1.553,1,9264
"z[238,6]",0.149,0.996,-1.48,1.785,1.001,9363
"z[239,6]",0.296,0.983,-1.323,1.937,1,9019
"z[240,6]",-0.073,0.991,-1.711,1.543,1,9708
"z[241,6]",-0.086,0.993,-1.73,1.527,1,9185
"z[242,6]",0.029,1.01,-1.63,1.668,1,9281
"z[243,6]",0.004,0.996,-1.612,1.664,1,9833
"z[244,6]",-0.21,0.987,-1.819,1.426,1,8722
"z[245,6]",-0.067,1.011,-1.727,1.606,1,9416
"z[246,6]",0.074,0.981,-1.535,1.701,1.001,9554
"z[247,6]",-0.029,0.981,-1.652,1.564,1,9296
"z[248,6]",0.51,1.01,-1.127,2.17,1,8963
"z[249,6]",-0.061,0.975,-1.668,1.555,1,9747
"z[250,6]",0.111,1,-1.529,1.774,1,9400
"z[251,6]",-0.027,0.999,-1.642,1.619,1,9567
"z[252,6]",0.02,0.985,-1.589,1.662,1,9473
"z[253,6]",-0.005,0.991,-1.613,1.674,1,9125
"z[254,6]",0.077,0.999,-1.56,1.692,1,9377
"z[255,6]",-0.029,0.988,-1.636,1.589,1.001,9184
"z[256,6]",-0.025,0.99,-1.65,1.624,1,9591
"z[257,6]",-0.208,1.003,-1.852,1.456,1.001,9326
"z[258,6]",-0.002,1,-1.67,1.632,1,9530
"z[259,6]",0.053,0.978,-1.549,1.671,1,9739
"z[260,6]",0.113,0.994,-1.522,1.74,1,9414
"z[261,6]",0.024,0.975,-1.597,1.605,1,9350
"z[262,6]",-0.339,1.01,-1.971,1.307,1,9488
"z[263,6]",0.335,1.003,-1.311,1.996,1,7566
"z[264,6]",0.163,0.982,-1.473,1.773,1,9321
"z[265,6]",0.037,0.997,-1.613,1.674,1,9891
"z[266,6]",0.198,0.974,-1.41,1.798,1,9377
"z[267,6]",-0.026,0.979,-1.64,1.596,1,9095
"z[268,6]",0.029,1.007,-1.643,1.681,1,9156
"z[269,6]",0.122,0.994,-1.502,1.74,1,9438
"z[270,6]",-0.103,0.993,-1.733,1.533,1,8970
"z[271,6]",-0.002,0.98,-1.612,1.616,1.001,9154
"z[272,6]",-0.012,0.991,-1.641,1.622,1,9198
"z[273,6]",-0.065,0.989,-1.664,1.6,1.001,8888
"z[274,6]",-0.153,1,-1.785,1.467,1,9160
"z[275,6]",-0.025,0.991,-1.657,1.587,1,9635
"z[276,6]",0.081,0.989,-1.521,1.73,1,9252
"z[277,6]",0.066,0.984,-1.553,1.724,1,8490
"z[278,6]",-0.047,0.966,-1.643,1.54,1,9297
"z[279,6]",0.069,0.97,-1.552,1.659,1,9573
"z[280,6]",-0.068,1.002,-1.694,1.585,1,8725
"z[281,6]",-0.075,0.971,-1.675,1.535,1,9635
"z[282,6]",0.02,0.985,-1.578,1.644,1,9580
"z[283,6]",0.094,0.981,-1.524,1.71,1,9213
"z[284,6]",0.513,1.005,-1.165,2.147,1,9495
"z[285,6]",0.11,0.964,-1.493,1.699,1.001,9091
"z[286,6]",-0.23,0.99,-1.875,1.44,1,8698
"z[287,6]",-0.094,0.998,-1.722,1.556,1,9233
"z[288,6]",0.088,1.009,-1.57,1.723,1.001,9599
"z[289,6]",-0.005,0.986,-1.629,1.618,1,9779
"z[290,6]",0.041,0.992,-1.596,1.683,1,9018
"z[291,6]",0.018,0.99,-1.619,1.624,1,9724
"z[292,6]",-0.013,0.993,-1.653,1.611,1,8430
"z[293,6]",0.164,0.988,-1.463,1.807,1,9374
"z[294,6]",0.012,1.007,-1.639,1.665,1,9252
"z[295,6]",-0.361,0.985,-1.996,1.246,1,8786
"z[296,6]",-0.026,0.99,-1.635,1.606,1,9882
"z[297,6]",-0.165,0.971,-1.767,1.421,1,8912
"z[298,6]",0.035,0.978,-1.574,1.644,1,9441
"z[299,6]",0.108,0.978,-1.489,1.727,1,9453
"z[300,6]",-0.049,0.994,-1.676,1.583,1,9830
"z[301,6]",0.042,1.01,-1.619,1.719,1,9573
"z[302,6]",-0.036,1.02,-1.725,1.643,1,9517
"z[303,6]",-0.189,0.981,-1.806,1.434,1,9351
"z[304,6]",-0.049,0.977,-1.652,1.534,1,9521
"z[305,6]",-0.147,0.966,-1.729,1.414,1,8647
"z[306,6]",-0.17,0.982,-1.764,1.464,1,9517
"z[307,6]",0.082,0.989,-1.567,1.696,1.001,9106
"z[308,6]",0.139,0.99,-1.479,1.778,1,9531
"z[309,6]",-0.209,0.975,-1.795,1.428,1,9454
"z[310,6]",-0.163,0.987,-1.787,1.451,1,9462
"z[311,6]",-0.02,0.967,-1.63,1.567,1,8366
"z[312,6]",0.105,0.992,-1.537,1.727,1.001,9642
"z[313,6]",-0.185,0.987,-1.826,1.41,1,8912
"z[314,6]",0.008,0.994,-1.647,1.638,1,9716
"z[315,6]",-0.269,0.998,-1.906,1.393,1,9089
"z[316,6]",-0.028,1.004,-1.679,1.611,1,9233
"z[317,6]",0.076,0.986,-1.54,1.731,1,9151
"z[318,6]",0.024,0.993,-1.594,1.683,1,9201
"z[319,6]",0.051,0.987,-1.59,1.667,1,8684
"z[320,6]",0.044,0.993,-1.575,1.686,1,9730
"z[321,6]",-0.151,0.972,-1.728,1.472,1,8236
"z[322,6]",0.1,0.992,-1.551,1.695,1,9716
"z[323,6]",0.219,1.003,-1.422,1.862,1.001,9317
"z[324,6]",0.028,0.999,-1.612,1.651,1,9497
"z[325,6]",0.078,0.995,-1.539,1.7,1.001,9267
"z[326,6]",-0.133,0.997,-1.763,1.509,1,9137
"z[327,6]",0.223,0.98,-1.414,1.834,1,9660
"z[328,6]",-0.251,0.976,-1.86,1.347,1,9067
"z[329,6]",-0.188,0.986,-1.815,1.425,1.001,9218
"z[330,6]",-0.229,0.974,-1.841,1.372,1,9443
"z[331,6]",-0.028,0.98,-1.637,1.575,1,9836
"z[332,6]",0.1,0.974,-1.521,1.683,1.001,9513
"z[333,6]",-0.037,0.979,-1.648,1.57,1,9127
"z[334,6]",-0.003,1.005,-1.655,1.644,1,9200
"z[335,6]",-0.168,0.984,-1.796,1.458,1,9521
"z[336,6]",-0.004,1.009,-1.66,1.65,1,10076
"z[337,6]",-0.047,0.978,-1.669,1.569,1,9177
"z[338,6]",-0.174,0.961,-1.744,1.388,1,9729
"z[339,6]",0.48,1.009,-1.179,2.152,1,8400
"z[340,6]",0.008,0.976,-1.597,1.623,1.001,9237
"z[341,6]",0.182,0.981,-1.413,1.777,1,9223
"z[342,6]",0.199,0.984,-1.395,1.819,1.001,9609
"z[343,6]",-0.109,0.989,-1.746,1.537,1,9179
"z[344,6]",0.176,0.984,-1.451,1.788,1,9928
"z[345,6]",-0.044,0.979,-1.64,1.577,1.001,9577
"z[346,6]",0.035,0.963,-1.556,1.612,1,9062
"z[347,6]",-0.023,0.983,-1.643,1.591,1,9560
"z[348,6]",-0.008,0.989,-1.614,1.611,1,9060
"z[349,6]",-0.053,1.009,-1.725,1.609,1,9935
"z[350,6]",0.068,0.975,-1.533,1.668,1,9458
"z[351,6]",0.015,0.981,-1.626,1.613,1,8533
"z[352,6]",0.193,0.975,-1.402,1.767,1,9160
"z[353,6]",-0.107,0.996,-1.738,1.547,1,9779
"z[354,6]",-0.021,0.983,-1.643,1.576,1,8677
"z[355,6]",-0.208,0.984,-1.831,1.436,1,9307
"z[356,6]",-0.028,0.976,-1.637,1.594,1,9157
"z[357,6]",0.406,0.986,-1.225,2.031,1,9241
"z[358,6]",0.015,1.004,-1.606,1.657,1,8976
"z[359,6]",0.118,1.02,-1.555,1.797,1.001,9797
"z[360,6]",-0.002,1.001,-1.658,1.618,1,9135
"z[361,6]",-0.198,0.969,-1.803,1.393,1,9027
"z[362,6]",0.076,1.002,-1.59,1.697,1,9552
"z[363,6]",0.003,1,-1.654,1.661,1,9599
"z[364,6]",-0.037,1.005,-1.671,1.595,1,9874
"z[365,6]",-0.104,0.976,-1.697,1.496,1,8618
"z[366,6]",0.017,0.973,-1.592,1.626,1,9047
"z[367,6]",0.023,0.967,-1.558,1.598,1.001,9732
"z[368,6]",0.048,0.996,-1.589,1.696,1,9423
"z[369,6]",0.022,0.984,-1.594,1.624,1,9167
"z[370,6]",0.019,0.999,-1.661,1.652,1.001,9386
"z[371,6]",-0.251,0.955,-1.824,1.322,1,9000
"z[372,6]",0.011,0.988,-1.625,1.657,1,9711
"z[373,6]",0.289,1.008,-1.398,1.922,1,9296
"z[374,6]",0.173,0.975,-1.413,1.764,1,9373
"z[375,6]",0,0.987,-1.609,1.631,1,9174
"z[376,6]",0.149,0.964,-1.417,1.723,1,9390
"z[377,6]",-0.379,0.999,-2.032,1.28,1,9185
"z[378,6]",0.218,1.007,-1.434,1.831,1,8306
"z[379,6]",-0.038,0.987,-1.668,1.597,1.001,9449
"z[380,6]",0.025,0.981,-1.595,1.628,1.001,9267
"z[381,6]",-0.219,0.983,-1.843,1.402,1,9387
"z[382,6]",-0.14,0.986,-1.757,1.503,1,9230
"z[383,6]",-0.083,0.979,-1.699,1.54,1,8265
"z[384,6]",0.093,0.974,-1.536,1.678,1.001,9545
"z[385,6]",0.008,0.996,-1.633,1.663,1,9191
"z[386,6]",0.064,0.994,-1.566,1.674,1,9838
"z[387,6]",-0.173,0.988,-1.795,1.458,1,9138
"z[388,6]",0.059,1.003,-1.585,1.718,1.001,9219
"z[389,6]",0.029,0.971,-1.554,1.646,1.001,9788
"z[390,6]",-0.01,0.983,-1.635,1.605,1,9409
"z[391,6]",-0.05,0.997,-1.686,1.57,1,9497
"z[392,6]",-0.044,0.99,-1.659,1.608,1,9627
"z[393,6]",-0.007,0.98,-1.654,1.588,1,9178
"z[394,6]",0.091,0.981,-1.54,1.691,1,9007
"z[395,6]",-0.059,1.004,-1.741,1.595,1,8723
"z[396,6]",-0.007,0.999,-1.637,1.608,1.001,9277
"z[397,6]",0.05,0.995,-1.582,1.678,1,9320
"z[398,6]",0.068,1,-1.553,1.699,1,9483
"z[399,6]",-0.03,1.004,-1.718,1.622,1,9882
"z[400,6]",0.05,0.986,-1.567,1.665,1,9718
"z[401,6]",0.003,0.981,-1.608,1.607,1,9727
"z[402,6]",0.176,0.983,-1.425,1.785,1,8757
"z[403,6]",0.051,1.011,-1.605,1.735,1,9244
"z[404,6]",0.27,0.999,-1.361,1.912,1,9367
"z[405,6]",-0.072,0.994,-1.714,1.561,1,9633
"z[406,6]",0.022,0.98,-1.613,1.622,1,8855
"z[407,6]",0.232,0.994,-1.418,1.858,1,8794
"z[408,6]",0.059,0.99,-1.548,1.699,1,9300
"z[409,6]",0.081,1.005,-1.591,1.691,1,9141
"z[410,6]",-0.005,0.986,-1.59,1.596,1.001,8810
"z[411,6]",-0.123,1.019,-1.801,1.553,1,9318
"z[412,6]",-0.1,0.99,-1.726,1.533,1,9401
"z[413,6]",0.019,1.008,-1.661,1.643,1,9157
"z[414,6]",0.119,0.969,-1.489,1.672,1,9526
"z[415,6]",0.011,0.989,-1.596,1.623,1,8369
"z[416,6]",0.151,0.964,-1.438,1.762,1,8952
"z[417,6]",-0.153,0.977,-1.765,1.47,1,9571
"z[418,6]",-0.045,0.983,-1.649,1.561,1,9248
"z[419,6]",-0.185,0.988,-1.804,1.44,1,9015
"z[420,6]",0.071,1.003,-1.577,1.705,1,9205
"z[421,6]",0.002,1.016,-1.665,1.686,1,9630
"z[422,6]",-0.217,0.997,-1.842,1.449,1.001,9145
"z[423,6]",-0.459,1.021,-2.126,1.251,1,8932
"z[424,6]",0.051,0.967,-1.544,1.622,1,9374
"z[425,6]",-0.239,0.962,-1.809,1.329,1,9177
"z[426,6]",-0.284,0.997,-1.938,1.357,1,9359
"z[427,6]",-0.024,1.007,-1.671,1.631,1,9997
"z[428,6]",-0.013,0.993,-1.636,1.635,1.001,8711
"z[429,6]",-0.191,0.99,-1.791,1.447,1,8201
"z[430,6]",0.163,0.99,-1.464,1.817,1,9601
"z[431,6]",-0.037,0.982,-1.663,1.564,1,9678
"z[432,6]",0.09,0.982,-1.531,1.702,1,8872
"z[433,6]",0.008,0.988,-1.589,1.626,1,10021
"z[434,6]",0.291,0.999,-1.341,1.938,1,9538
"z[435,6]",0.011,1.005,-1.656,1.663,1,9856
"z[436,6]",-0.219,0.995,-1.859,1.401,1,9583
"z[437,6]",-0.004,1.008,-1.662,1.664,1,9377
"z[438,6]",0.012,1.011,-1.643,1.686,1,9253
"z[439,6]",-0.057,0.993,-1.675,1.593,1,9442
"z[440,6]",0.012,1.004,-1.63,1.661,1.001,9656
"z[441,6]",0.12,0.969,-1.475,1.708,1,9908
"z[442,6]",-0.053,0.997,-1.665,1.609,1.001,9514
"z[443,6]",0.023,0.988,-1.589,1.634,1,9564
"z[444,6]",-0.084,1.002,-1.722,1.603,1,9145
"z[445,6]",-0.5,1.011,-2.17,1.165,1,8389
"z[446,6]",0.195,0.984,-1.445,1.795,1,9372
"z[447,6]",0.296,0.993,-1.345,1.92,1,9200
"z[448,6]",-0.121,1.01,-1.771,1.533,1,9090
"z[449,6]",-0.394,1,-2.058,1.26,1,9467
"z[450,6]",0.007,0.991,-1.614,1.651,1.001,9365
"z[451,6]",0.208,0.989,-1.439,1.853,1.001,9299
"z[452,6]",0.322,0.996,-1.337,1.956,1,9169
